# *'s are coded as 1 under Censored column
# Stress/Spool combinations with no data are coded as -999 under Failure.Time
Stress	Spool	Failure.Time	Censored
29.7	1	444.4	0
29.7	1	755.2	0
29.7	1	952.2	0
29.7	1	1108.2	0
29.7	2	2.2	0
29.7	2	8.5	0
29.7	2	9.1	0
29.7	2	10.2	0
29.7	2	22.1	0
29.7	2	55.4	0
29.7	2	111.4	0
29.7	2	158.7	0
29.7	3	12.5	0
29.7	3	14.6	0
29.7	3	18.7	0
29.7	3	101.0	0
29.7	4	254.1	0
29.7	4	1148.5	0
29.7	4	1569.3	0
29.7	4	1750.6	0
29.7	4	1802.1	0
29.7	5	8.3	0
29.7	5	13.3	0
29.7	5	87.5	0
29.7	5	243.9	0
29.7	5	6.7	0
29.7	5	15.0	0
29.7	5	144.0	0
29.7	7	4.0	0
29.7	7	4.0	0
29.7	7	4.6	0
29.7	7	6.1	0
29.7	7	7.9	0
29.7	7	14.0	0
29.7	7	45.9	0
29.7	7	61.2	0
29.7	8	98.2	0
29.7	8	590.4	0
29.7	8	638.2	0
27.6	1	453.4	0
27.6	1	664.5	0
27.6	1	930.4	0
27.6	1	1755.5	0
27.6	2	71.2	0
27.6	2	199.1	0
27.6	2	403.7	0
27.6	2	432.2	0
27.6	2	514.1	0
27.6	2	544.9	0
27.6	2	694.1	0
27.6	3	19.1	0
27.6	3	24.3	0
27.6	3	69.8	0
27.6	3	136.0	0
27.6	4	876.7	0
27.6	4	1275.6	0
27.6	4	1536.8	0
27.6	4	6177.5	0
27.6	5	-999	0
27.6	6	514.2	0
27.6	6	541.6	0
27.6	6	1254.9	0
27.6	7	-999	0
27.6	8	554.2	0
27.6	8	2046.2	0
25.5	1	11487.3	0
25.5	1	14032.0	0
25.5	1	31008.0	0
25.5	2	1134.2	0
25.5	2	1824.3	0
25.5	2	1920.1	0
25.5	2	2383.0	0
25.5	2	3708.9	0
25.5	2	5556.0	0
25.5	3	1087.7	0
25.5	3	2442.5	0
25.5	4	13501.3	0
25.5	4	29808.0	0
25.5	5	11727.1	0
25.5	6	225.2	0
25.5	6	6271.1	0
25.5	6	7996.0	0
25.5	7	503.6	0
25.5	8	2974.6	0
25.5	8	4908.9	0
25.5	8	7332.0	0
25.5	8	7918.7	0
25.5	8	9240.3	0
25.5	8	9973.0	0
23.4	1	41000	1
23.4	1	41000	1
23.4	1	41000	1
23.4	1	41000	1
23.4	2	14400.0	0
23.4	3	8616.0	0
23.4	4	41000	1
23.4	4	41000	1
23.4	4	41000	1
23.4	4	41000	1
23.4	5	9120.0	0
23.4	5	20231.0	0
23.4	5	35880.0	0
23.4	6	7320.0	0
23.4	6	16104.0	0
23.4	6	20233.0	0
23.4	7	4000.0	0
23.4	7	5376.0	0
23.4	8	41000	1
23.4	8	41000	1
23.4	8	41000	1
