D E A BC F G	Lower Upper	Dl Dq El Eq Al Aq Cl X.Bl Fl Fq Gl Gq
0 0 0  0 0 0	1	2	-1 -1 -1 -1 -1 -1 -1   -1 -1 -1 -1 -1
0 0 0  0 0 0	1	2	-1 -1 -1 -1 -1 -1 -1   -1 -1 -1 -1 -1
0 0 0  0 0 0	1	2	-1 -1 -1 -1 -1 -1 -1   -1 -1 -1 -1 -1
0 0 1  1 1 1	4	5	-1 -1 -1 -1  0  2  0    2  0  2  0  2
0 0 1  1 1 1	5	6	-1 -1 -1 -1  0  2  0    2  0  2  0  2
0 0 1  1 1 1	11	999	-1 -1 -1 -1  0  2  0    2  0  2  0  2
0 0 2  2 2 2	2	3	-1 -1 -1 -1  2 -1  1   -1  1 -1  1 -1
0 0 2  2 2 2	2	3	-1 -1 -1 -1  2 -1  1   -1  1 -1  1 -1
0 0 2  2 2 2	11	999	-1 -1 -1 -1  2 -1  1   -1  1 -1  1 -1
0 1 0  0 1 2	2	3	-1 -1  0  2 -1 -1 -1   -1  0  2  1 -1
0 1 0  0 1 2	3	4	-1 -1  0  2 -1 -1 -1   -1  0  2  1 -1
0 1 0  0 1 2	3	4	-1 -1  0  2 -1 -1 -1   -1  0  2  1 -1
0 1 1  1 2 0	5	6	-1 -1  0  2  0  2  0    2  1 -1 -1 -1
0 1 1  1 2 0	11	999	-1 -1  0  2  0  2  0    2  1 -1 -1 -1
0 1 1  1 2 0	11	999	-1 -1  0  2  0  2  0    2  1 -1 -1 -1
0 1 2  2 0 1	1	2	-1 -1  0  2  2 -1  1   -1 -1 -1  0  2
0 1 2  2 0 1	1	2	-1 -1  0  2  2 -1  1   -1 -1 -1  0  2
0 1 2  2 0 1	1	2	-1 -1  0  2  2 -1  1   -1 -1 -1  0  2
0 2 0  0 2 1	1	2	-1 -1  1 -1  1 -1 -1   -1  1 -1  0  2
0 2 0  0 2 1	1	2	-1 -1  1 -1  1 -1 -1   -1  1 -1  0  2
0 2 0  0 2 1	3	4	-1 -1  1 -1  1 -1 -1   -1  1 -1  0  2
0 2 1  1 0 2	1	2	-1 -1  1 -1  1  2  0    2 -1 -1  1 -1
0 2 1  1 0 2	1	2	-1 -1  1 -1  1  2  0    2 -1 -1  1 -1
0 2 1  1 0 2	2	3	-1 -1  1 -1  1  2  0    2 -1 -1  1 -1
0 2 2  2 1 0	3	4	-1 -1  1 -1  1 -1  1   -1  0  2 -1 -1
0 2 2  2 1 0	3	4	-1 -1  1 -1  1 -1  1   -1  0  2 -1 -1
0 2 2  2 1 0	4	5	-1 -1  1 -1  1 -1  1   -1  0  2 -1 -1
1 0 0  1 0 0	1	2	 0  2 -1 -1 -1 -1  0    2 -1 -1 -1 -1
1 0 0  1 0 0	1	2	 0  2 -1 -1 -1 -1  0    2 -1 -1 -1 -1
1 0 0  1 0 0	2	3	 0  2 -1 -1 -1 -1  0    2 -1 -1 -1 -1
1 0 1  2 1 1	11	999	 0  2 -1 -1  0  2  1   -1  0  2  0  2
1 0 1  2 1 1	11	999	 0  2 -1 -1  0  2  1   -1  0  2  0  2
1 0 1  2 1 1	11	999	 0  2 -1 -1  0  2  1   -1  0  2  0  2
1 0 2  0 2 2	6	7	 0  2 -1 -1  2 -1 -1   -1  1 -1  1 -1
1 0 2  0 2 2	11	999	 0  2 -1 -1  2 -1 -1   -1  1 -1  1 -1
1 0 2  0 2 2	11	999	 0  2 -1 -1  2 -1 -1   -1  1 -1  1 -1
1 1 0  1 1 2	11	999	 0  2  0  2 -1 -1  0    2  0  2  1 -1
1 1 0  1 1 2	11	999	 0  2  0  2 -1 -1  0    2  0  2  1 -1
1 1 0  1 1 2	11	999	 0  2  0  2 -1 -1  0    2  0  2  1 -1
1 1 1  2 2 0	2	3	 0  2  0  2  0  2  1   -1  1 -1 -1 -1
1 1 1  2 2 0	2	3	 0  2  0  2  0  2  1   -1  1 -1 -1 -1
1 1 1  2 2 0	2	3	 0  2  0  2  0  2  1   -1  1 -1 -1 -1
1 1 2  0 0 1	1	2	 0  2  0  2  2 -1 -1   -1 -1 -1  0  2
1 1 2  0 0 1	2	3	 0  2  0  2  2 -1 -1   -1 -1 -1  0  2
1 1 2  0 0 1	2	3	 0  2  0  2  2 -1 -1   -1 -1 -1  0  2
1 2 0  1 2 1	2	3	 0  2  1 -1  1 -1  0    2  1 -1  0  2
1 2 0  1 2 1	3	4	 0  2  1 -1  1 -1  0    2  1 -1  0  2
1 2 0  1 2 1	4	5	 0  2  1 -1  1 -1  0    2  1 -1  0  2
1 2 1  2 0 2	2	3	 0  2  1 -1  1  2  1   -1 -1 -1  1 -1
1 2 1  2 0 2	2	3	 0  2  1 -1  1  2  1   -1 -1 -1  1 -1
1 2 1  2 0 2	2	3	 0  2  1 -1  1  2  1   -1 -1 -1  1 -1
1 2 2  0 1 0	11	999	 0  2  1 -1  1 -1 -1   -1  0  2 -1 -1
1 2 2  0 1 0	11	999	 0  2  1 -1  1 -1 -1   -1  0  2 -1 -1
1 2 2  0 1 0	11	999	 0  2  1 -1  1 -1 -1   -1  0  2 -1 -1
2 0 0  2 0 0	3	4	 1 -1 -1 -1 -1 -1  1   -1 -1 -1 -1 -1
2 0 0  2 0 0	4	5	 1 -1 -1 -1 -1 -1  1   -1 -1 -1 -1 -1
2 0 0  2 0 0	4	5	 1 -1 -1 -1 -1 -1  1   -1 -1 -1 -1 -1
2 0 1  0 1 1	11	999	 1 -1 -1 -1  0  2 -1   -1  0  2  0  2
2 0 1  0 1 1	11	999	 1 -1 -1 -1  0  2 -1   -1  0  2  0  2
2 0 1  0 1 1	11	999	 1 -1 -1 -1  0  2 -1   -1  0  2  0  2
2 0 2  1 2 2	11	999	 1 -1 -1 -1  2 -1  0    2  1 -1  1 -1
2 0 2  1 2 2	11	999	 1 -1 -1 -1  2 -1  0    2  1 -1  1 -1
2 0 2  1 2 2	11	999	 1 -1 -1 -1  2 -1  0    2  1 -1  1 -1
2 1 0  2 1 2	11	999	 1 -1  0  2 -1 -1  1   -1  0  2  1 -1
2 1 0  2 1 2	11	999	 1 -1  0  2 -1 -1  1   -1  0  2  1 -1
2 1 0  2 1 2	11	999	 1 -1  0  2 -1 -1  1   -1  0  2  1 -1
2 1 1  0 2 0	11	999	 1 -1  0  2  0  2 -1   -1  1 -1 -1 -1
2 1 1  0 2 0	11	999	 1 -1  0  2  0  2 -1   -1  1 -1 -1 -1
2 1 1  0 2 0	11	999	 1 -1  0  2  0  2 -1   -1  1 -1 -1 -1
2 1 2  1 0 1	5	6	 1 -1  0  2  2 -1  0    2 -1 -1  0  2
2 1 2  1 0 1	11	999	 1 -1  0  2  2 -1  0    2 -1 -1  0  2
2 1 2  1 0 1	11	999	 1 -1  0  2  2 -1  0    2 -1 -1  0  2
2 2 0  2 2 1	4	5	 1 -1  1 -1  1 -1  1   -1  1 -1  0  2
2 2 0  2 2 1	4	5	 1 -1  1 -1  1 -1  1   -1  1 -1  0  2
2 2 0  2 2 1	6	7	 1 -1  1 -1  1 -1  1   -1  1 -1  0  2
2 2 1  0 0 2	2	3	 1 -1  1 -1  1  2 -1   -1 -1 -1  1 -1
2 2 1  0 0 2	2	3	 1 -1  1 -1  1  2 -1   -1 -1 -1  1 -1
2 2 1  0 0 2	3	4	 1 -1  1 -1  1  2 -1   -1 -1 -1  1 -1
2 2 2  1 1 0	11	999	 1 -1  1 -1  1 -1  0    2  0  2 -1 -1
2 2 2  1 1 0	11	999	 1 -1  1 -1  1 -1  0    2  0  2 -1 -1
2 2 2  1 1 0	11	999	 1 -1  1 -1  1 -1  0    2  0  2 -1 -1
