Factor	Temp	Lifetime
cnt	20	218
cnt	20	265
cnt	20	279
cnt	20	282
cnt	20	336
cnt	20	469
cnt	20	496
cnt	20	507
cnt	20	685
cnt	20	685
cnt	60	185
cnt	60	242
cnt	60	254
cnt	60	280
cnt	60	305
cnt	60	353
cnt	60	381
cnt	60	504
cnt	60	556
cnt	60	697
cnt	100	7
cnt	100	46
cnt	100	52
cnt	100	82
cnt	100	90
cnt	100	100
cnt	100	101
cnt	100	105
cnt	100	112
cnt	100	151
cng	20	685
cng	20	899
cng	20	1020
cng	20	1082
cng	20	1207
cng	20	1396
cng	20	1411
cng	20	1417
cng	20	1470
cng	20	1999
cng	60	593
cng	60	722
cng	60	859
cng	60	863
cng	60	956
cng	60	1017
cng	60	1038
cng	60	1107
cng	60	1264
cng	60	1362
cng	100	188
cng	100	248
cng	100	266
cng	100	269
cng	100	291
cng	100	345
cng	100	352
cng	100	381
cng	100	385
cng	100	445
ctl	20	791
ctl	20	1140
ctl	20	1169
ctl	20	1217
ctl	20	1267
ctl	20	1409
ctl	20	1447
ctl	20	1476
ctl	20	1488
ctl	20	1545
ctl	60	704
ctl	60	827
ctl	60	925
ctl	60	930
ctl	60	984
ctl	60	984
ctl	60	1006
ctl	60	1166
ctl	60	1258
ctl	60	1362
ctl	100	98
ctl	100	154
ctl	100	193
ctl	100	230
ctl	100	239
ctl	100	270
ctl	100	295
ctl	100	332
ctl	100	491
ctl	100	532
