Temp	Voltage	Lifetime Tl Vl Vq Vc TlVl TlVq TlVc
170	200	439	-1  -3   1  -1   3  -1   1
170	200	904	-1  -3   1  -1   3  -1   1
170	200	1092	-1  -3   1  -1   3  -1   1
170	200	1105	-1  -3   1  -1   3  -1   1
170	250	572	-1  -1  -1   3   1   1  -3
170	250	690	-1  -1  -1   3   1   1  -3
170	250	904	-1  -1  -1   3   1   1  -3
170	250	1090	-1  -1  -1   3   1   1  -3
170	300	315	-1   1  -1  -3  -1   1   3
170	300	315	-1   1  -1  -3  -1   1   3
170	300	439	-1   1  -1  -3  -1   1   3
170	300	628	-1   1  -1  -3  -1   1   3
170	350	258	-1   3   1   1  -3  -1  -1
170	350	258	-1   3   1   1  -3  -1  -1
170	350	347	-1   3   1   1  -3  -1  -1
170	350	588	-1   3   1   1  -3  -1  -1
180	200	959	 1  -3   1  -1  -3   1  -1
180	200	1065	 1  -3   1  -1  -3   1  -1
180	200	1065	 1  -3   1  -1  -3   1  -1
180	200	1087	 1  -3   1  -1  -3   1  -1
180	250	216	 1  -1  -1   3  -1  -1   3
180	250	315	 1  -1  -1   3  -1  -1   3
180	250	455	 1  -1  -1   3  -1  -1   3
180	250	473	 1  -1  -1   3  -1  -1   3
180	300	241	 1   1  -1  -3   1  -1  -3
180	300	315	 1   1  -1  -3   1  -1  -3
180	300	332	 1   1  -1  -3   1  -1  -3
180	300	380	 1   1  -1  -3   1  -1  -3
180	350	241	 1   3   1   1   3   1   1
180	350	241	 1   3   1   1   3   1   1
180	350	435	 1   3   1   1   3   1   1
180	350	435	 1   3   1   1   3   1   1
