temp	electrolyte	rep	time
0	1	1	2.17
0	1	2	1.88
0	1	3	1.62
0	1	4	2.34
0	1	5	1.58
0	1	6	1.66
0	2	1	1.58
0	2	2	1.26
0	2	3	1.22
0	2	4	1.59
0	2	5	1.25
0	2	6	0.94
0	3	1	2.29
0	3	2	1.60
0	3	3	1.67
0	3	4	1.91
0	3	5	1.39
0	3	6	1.12
0	4	1	2.23
0	4	2	2.01
0	4	3	1.82
0	4	4	2.10
0	4	5	1.66
0	4	6	1.10
1	1	1	2.33
1	1	2	2.01
1	1	3	1.70
1	1	4	1.78
1	1	5	1.42
1	1	6	1.35
1	2	1	1.38
1	2	2	1.30
1	2	3	1.85
1	2	4	1.09
1	2	5	1.13
1	2	6	1.06
1	3	1	1.86
1	3	2	1.70
1	3	3	1.81
1	3	4	1.54
1	3	5	1.67
1	3	6	0.88
1	4	1	2.27
1	4	2	1.81
1	4	3	2.01
1	4	4	1.40
1	4	5	1.31
1	4	6	1.06
2	1	1	1.75
2	1	2	1.95
2	1	3	2.13
2	1	4	1.78
2	1	5	1.31
2	1	6	1.30
2	2	1	1.52
2	2	2	1.47
2	2	3	1.80
2	2	4	1.37
2	2	5	1.01
2	2	6	1.31
2	3	1	1.55
2	3	2	1.61
2	3	3	1.82
2	3	4	1.56
2	3	5	1.23
2	3	6	1.13
2	4	1	1.56
2	4	2	1.72
2	4	3	1.99
2	4	4	1.55
2	4	5	1.51
2	4	6	1.33
