Temp Count lower  upper
200     3     0   1094
200     2  1094   1521
200     4  1521   1948
200     2  1948   2338
200     5  2338   2886
200     2  2886   3469
200     3  3469   4185
200     9  6797 999999
215     2     0    344
215     1   344    478
215     3   478    612
215     2   612    735
215     3   735    907
215     1   907   1090
215     1  1090   1315
215     3  1315   1624
215     1  1624   2136
215     3  2136 999999
230     2     0    115
230     2   115    160
230     2   160    205
230     3   246    304
230     3   304    365
230     3   365    441
230     2   441    544
230     1   544    716
230     2   716 999999
