Batch  Time Potency
 1  0    99.9
 1 12    98.9
 1 24    95.9
 1 36    92.9
 2  0   101.1
 2 12    97.1
 2 24    94.1
 2 36    91.1
 3  0   100.3
 3 12    98.3
 3 24    95.3
 3 36    92.3
 4  0   100.8
 4 12    96.8
 4 24    94.8
 4 36    90.8
 5  0   100.0
 5 12    98.0
 5 24    96.0
 5 36    92.0
 6  0   100.1
 6 12    98.1
 6 24    98.1
 6 36    95.1
 7  0    99.6
 7 12    98.6
 7 24    96.6
 7 36    92.6
 8  0   100.4
 8 12    99.4
 8 24    96.4
 8 36    95.4
 9  0   100.9
 9 12    98.9
 9 24    96.9
 9 36    96.9
10  0   100.5
10 12    99.5
10 24    94.5
10 36    93.5
11  0   101.1
11 12    98.1
11 24    93.1
11 36    91.1
12  0   100.9
12 12    97.9
12 24    95.9
12 36    93.9
13  0    99.8
13 12    98.8
13 24    93.8
13 36    89.8
14  0   100.1
14 12    99.1
14 24    93.1
14 36    90.1
15  0   100.7
15 12    98.7
15 24    93.7
15 36    91.7
16  0   100.3
16 12    98.3
16 24    96.3
16 36    93.3
17  0   100.2
17 12    98.2
17 24    97.2
17 36    94.2
18  0    99.8
18 12    97.8
18 24    95.8
18 36    90.8
19  0   100.8
19 12    98.8
19 24    95.8
19 36    94.8
20  0   100.0
20 12    98.0
20 24    96.0
20 36    92.0
21  0    99.6
21 12    99.6
21 24    92.6
21 36    88.6
22  0   100.2
22 12    98.2
22 24    97.2
22 36    94.2
23  0    99.8
23 12    97.8
23 24    95.8
23 36    90.8
24  0   100.0
24 12    99.0
24 24    95.0
24 36    92.0
