Run  A  B  C  Time Unit Log.luminosity
1 -1 -1 -1   500    1        -0.0822
1 -1 -1 -1   500    2        -0.0817
1 -1 -1 -1   500    3        -0.0702
1 -1 -1 -1   500    4        -0.0719
1 -1 -1 -1   500    5        -0.0912
1 -1 -1 -1  1000    1        -0.0903
1 -1 -1 -1  1000    2        -0.0999
1 -1 -1 -1  1000    3        -0.0898
1 -1 -1 -1  1000    4        -0.1094
1 -1 -1 -1  1000    5        -0.0983
1 -1 -1 -1  2000    1        -0.1112
1 -1 -1 -1  2000    2        -0.1322
1 -1 -1 -1  2000    3        -0.1209
1 -1 -1 -1  2000    4        -0.1417
1 -1 -1 -1  2000    5        -0.1172
1 -1 -1 -1  3000    1        -0.1225
1 -1 -1 -1  3000    2        -0.1444
1 -1 -1 -1  3000    3        -0.1564
1 -1 -1 -1  3000    4        -0.1785
1 -1 -1 -1  3000    5        -0.1634
1 -1 -1 -1  4000    1        -0.1958
1 -1 -1 -1  4000    2        -0.2186
1 -1 -1 -1  4000    3        -0.2054
1 -1 -1 -1  4000    4        -0.2282
1 -1 -1 -1  4000    5        -0.2244
1 -1 -1 -1  5000    1        -0.2187
1 -1 -1 -1  5000    2        -0.2136
1 -1 -1 -1  5000    3        -0.2279
1 -1 -1 -1  5000    4        -0.2374
1 -1 -1 -1  5000    5        -0.2468
1 -1 -1 -1  6000    1        -0.2285
1 -1 -1 -1  6000    2        -0.2237
1 -1 -1 -1  6000    3        -0.2522
1 -1 -1 -1  6000    4        -0.2761
1 -1 -1 -1  6000    5        -0.2712
2  1 -1  1   500    1        -0.0302
2  1 -1  1   500    2        -0.0556
2  1 -1  1   500    3        -0.0556
2  1 -1  1   500    4        -0.0486
2  1 -1  1   500    5        -0.0473
2  1 -1  1  1000    1        -0.0575
2  1 -1  1  1000    2        -0.0829
2  1 -1  1  1000    3        -0.1031
2  1 -1  1  1000    4        -0.0762
2  1 -1  1  1000    5        -0.0654
2  1 -1  1  2000    1        -0.1152
2  1 -1  1  2000    2        -0.1297
2  1 -1  1  2000    3        -0.1407
2  1 -1  1  2000    4        -0.1346
2  1 -1  1  2000    5        -0.1131
2  1 -1  1  3000    1        -0.1362
2  1 -1  1  3000    2        -0.1403
2  1 -1  1  3000    3        -0.1621
2  1 -1  1  3000    4        -0.1562
2  1 -1  1  3000    5        -0.1345
2  1 -1  1  4000    1        -0.1475
2  1 -1  1  4000    2        -0.1730
2  1 -1  1  4000    3        -0.1840
2  1 -1  1  4000    4        -0.1809
2  1 -1  1  4000    5        -0.1572
2  1 -1  1  5000    1        -0.1585
2  1 -1  1  5000    2        -0.1955
2  1 -1  1  5000    3        -0.2067
2  1 -1  1  5000    4        -0.1900
2  1 -1  1  5000    5        -0.1783
2  1 -1  1  6000    1        -0.1705
2  1 -1  1  6000    2        -0.2076
2  1 -1  1  6000    3        -0.2076
2  1 -1  1  6000    4        -0.2231
2  1 -1  1  6000    5        -0.2159
2  1 -1  1  7000    1        -0.1905
2  1 -1  1  7000    2        -0.2278
2  1 -1  1  7000    3        -0.2278
2  1 -1  1  7000    4        -0.2436
2  1 -1  1  7000    5        -0.2360
2  1 -1  1  8000    1        -0.2109
2  1 -1  1  8000    2        -0.2480
2  1 -1  1  8000    3        -0.2480
2  1 -1  1  8000    4        -0.2640
2  1 -1  1  8000    5        -0.2559
2  1 -1  1  9000    1        -0.2312
2  1 -1  1  9000    2        -0.2649
2  1 -1  1  9000    3        -0.2649
2  1 -1  1  9000    4        -0.2843
2  1 -1  1  9000    5        -0.2764
2  1 -1  1 10000    1        -0.2414
2  1 -1  1 10000    2        -0.2751
2  1 -1  1 10000    3        -0.2751
2  1 -1  1 10000    4        -0.2944
2  1 -1  1 10000    5        -0.2865
2  1 -1  1 11000    1        -0.2516
2  1 -1  1 11000    2        -0.2850
2  1 -1  1 11000    3        -0.2850
2  1 -1  1 11000    4        -0.3046
2  1 -1  1 11000    5        -0.2967
2  1 -1  1 12000    1        -0.2567
2  1 -1  1 12000    2        -0.2902
2  1 -1  1 12000    3        -0.2902
2  1 -1  1 12000    4        -0.3095
2  1 -1  1 12000    5        -0.3016
3 -1  1  1   500    1        -0.0205
3 -1  1  1   500    2        -0.0215
3 -1  1  1   500    3        -0.0315
3 -1  1  1   500    4        -0.0205
3 -1  1  1   500    5        -0.0203
3 -1  1  1  1000    1        -0.0304
3 -1  1  1  1000    2        -0.0442
3 -1  1  1  1000    3        -0.0660
3 -1  1  1  1000    4        -0.0550
3 -1  1  1  1000    5        -0.0414
3 -1  1  1  2000    1        -0.0968
3 -1  1  1  2000    2        -0.1263
3 -1  1  1  2000    3        -0.1078
3 -1  1  1  2000    4        -0.1103
3 -1  1  1  2000    5        -0.1213
3 -1  1  1  3000    1        -0.1257
3 -1  1  1  3000    2        -0.1293
3 -1  1  1  3000    3        -0.1511
3 -1  1  1  3000    4        -0.1257
3 -1  1  1  3000    5        -0.1367
3 -1  1  1  4000    1        -0.1663
3 -1  1  1  4000    2        -0.1555
3 -1  1  1  4000    3        -0.1773
3 -1  1  1  4000    4        -0.1379
3 -1  1  1  4000    5        -0.1489
3 -1  1  1  5000    1        -0.1667
3 -1  1  1  5000    2        -0.1560
3 -1  1  1  5000    3        -0.1927
3 -1  1  1  5000    4        -0.1667
3 -1  1  1  5000    5        -0.1777
3 -1  1  1  6000    1        -0.2099
3 -1  1  1  6000    2        -0.2302
3 -1  1  1  6000    3        -0.2519
3 -1  1  1  6000    4        -0.2099
3 -1  1  1  6000    5        -0.1913
4  1  1 -1   500    1        -0.0496
4  1  1 -1   500    2        -0.0319
4  1  1 -1   500    3        -0.0261
4  1  1 -1   500    4        -0.0229
4  1  1 -1   500    5        -0.0264
4  1  1 -1  1000    1        -0.0938
4  1  1 -1  1000    2        -0.0621
4  1  1 -1  1000    3        -0.0676
4  1  1 -1  1000    4        -0.0470
4  1  1 -1  1000    5        -0.0528
4  1  1 -1  2000    1        -0.1721
4  1  1 -1  2000    2        -0.1486
4  1  1 -1  2000    3        -0.1429
4  1  1 -1  2000    4        -0.1320
4  1  1 -1  2000    5        -0.1396
4  1  1 -1  3000    1        -0.1504
4  1  1 -1  3000    2        -0.1333
4  1  1 -1  3000    3        -0.1098
4  1  1 -1  3000    4        -0.0963
4  1  1 -1  3000    5        -0.1120
4  1  1 -1  4000    1        -0.1692
4  1  1 -1  4000    2        -0.1817
4  1  1 -1  4000    3        -0.1480
4  1  1 -1  4000    4        -0.1804
4  1  1 -1  4000    5        -0.1527
4  1  1 -1  5000    1        -0.1796
4  1  1 -1  5000    2        -0.2104
4  1  1 -1  5000    3        -0.1775
4  1  1 -1  5000    4        -0.1666
4  1  1 -1  5000    5        -0.1680
4  1  1 -1  6000    1        -0.2105
4  1  1 -1  6000    2        -0.2325
4  1  1 -1  6000    3        -0.2041
4  1  1 -1  6000    4        -0.2062
4  1  1 -1  6000    5        -0.1856
4  1  1 -1  7000    1        -0.2712
4  1  1 -1  7000    2        -0.3185
4  1  1 -1  7000    3        -0.2653
4  1  1 -1  7000    4        -0.2727
4  1  1 -1  7000    5        -0.2562
4  1  1 -1  8000    1        -0.2460
4  1  1 -1  8000    2        -0.2881
4  1  1 -1  8000    3        -0.2358
4  1  1 -1  8000    4        -0.2313
4  1  1 -1  8000    5        -0.2364
4  1  1 -1  9000    1        -0.2648
4  1  1 -1  9000    2        -0.3231
4  1  1 -1  9000    3        -0.2751
4  1  1 -1  9000    4        -0.2540
4  1  1 -1  9000    5        -0.2526
4  1  1 -1 10000    1        -0.2827
4  1  1 -1 10000    2        -0.3385
4  1  1 -1 10000    3        -0.3032
4  1  1 -1 10000    4        -0.2781
4  1  1 -1 10000    5        -0.2909
4  1  1 -1 11000    1        -0.3481
4  1  1 -1 11000    2        -0.4149
4  1  1 -1 11000    3        -0.3540
4  1  1 -1 11000    4        -0.3254
4  1  1 -1 11000    5        -0.3417
4  1  1 -1 12000    1        -0.3320
4  1  1 -1 12000    2        -0.4038
4  1  1 -1 12000    3        -0.3710
4  1  1 -1 12000    4        -0.3235
4  1  1 -1 12000    5        -0.3403
