Part Hours   Light
1    50 -4.6995
1   100 -4.4568
1   150 -4.3583
1   200 -4.1734
1   250 -3.9900
2    50 -4.5853
2   100 -4.1105
2   150 -3.3781
2   200 -3.5268
2   250 -3.3326
3    50 -4.4918
3   100 -4.0063
3   150 -3.6119
3   200 -3.4022
3   250 -3.2968
4    50 -4.5660
4   100 -4.1605
4   150 -3.8304
4   200 -3.5544
4   250 -3.1773
5    50 -4.3200
5   100 -3.9120
5   150 -3.6500
5   200 -3.2970
5   250 -2.4583
6    50 -4.6152
6   100 -4.2759
6   150 -3.9528
6   200 -3.6652
6   250 -3.5268
7    50 -4.6886
7   100 -3.9686
7   150 -3.6382
7   200 -3.4022
7   250 -3.3668
8    50 -4.2336
8   100 -3.8077
8   150 -3.4673
8   200 -3.2189
8   250 -3.1773
9    50 -4.2759
9   100 -3.8491
9   150 -3.2571
9   200 -2.9957
9   250 -1.9456
