Car Miles Chemical Emission
 1     0       HC     0.16
 1     0       CO     2.89
 1     0       NO     2.21
 2     0       HC     0.38
 2     0       CO     2.17
 2     0       NO     1.75
 3     0       HC     0.20
 3     0       CO     1.56
 3     0       NO     1.11
 4     0       HC     0.18
 4     0       CO     3.49
 4     0       NO     2.55
 5     0       HC     0.33
 5     0       CO     3.10
 5     0       NO     1.79
 6     0       HC     0.34
 6     0       CO     1.61
 6     0       NO     1.88
 7     0       HC     0.27
 7     0       CO     1.14
 7     0       NO     2.20
 8     0       HC     0.30
 8     0       CO     2.50
 8     0       NO     2.46
 9     0       HC     0.41
 9     0       CO     2.22
 9     0       NO     1.77
10     0       HC     0.31
10     0       CO     2.33
10     0       NO     2.60
11     0       HC     0.15
11     0       CO     2.68
11     0       NO     2.12
12     0       HC     0.36
12     0       CO     1.63
12     0       NO     2.34
13     0       HC     0.33
13     0       CO     1.58
13     0       NO     1.76
14     0       HC     0.19
14     0       CO     1.54
14     0       NO     2.07
15     0       HC     0.23
15     0       CO     1.75
15     0       NO     1.59
16     0       HC     0.16
16     0       CO     1.47
16     0       NO     2.25
 1  4000       HC     0.26
 1  4000       CO     1.16
 1  4000       NO     1.99
 2  4000       HC     0.48
 2  4000       CO     1.75
 2  4000       NO     1.90
 3  4000       HC     0.40
 3  4000       CO     1.64
 3  4000       NO     1.89
 4  4000       HC     0.38
 4  4000       CO     1.54
 4  4000       NO     2.45
 5  4000       HC     0.31
 5  4000       CO     1.45
 5  4000       NO     1.54
 6  4000       HC     0.49
 6  4000       CO     2.59
 6  4000       NO     2.01
 7  4000       HC     0.25
 7  4000       CO     1.39
 7  4000       NO     1.95
 8  4000       HC     0.23
 8  4000       CO     1.26
 8  4000       NO     2.17
 9  4000       HC     0.39
 9  4000       CO     2.72
 9  4000       NO     1.93
10  4000       HC     0.21
10  4000       CO     2.23
10  4000       NO     2.58
11  4000       HC     0.22
11  4000       CO     3.94
11  4000       NO     2.12
12  4000       HC     0.45
12  4000       CO     1.88
12  4000       NO     1.80
13  4000       HC     0.39
13  4000       CO     1.49
13  4000       NO     1.46
14  4000       HC     0.36
14  4000       CO     1.81
14  4000       NO     1.89
15  4000       HC     0.44
15  4000       CO     2.90
15  4000       NO     1.85
16  4000       HC     0.22
16  4000       CO     1.16
16  4000       NO     2.21
 1 24000       HC     0.23
 1 24000       CO     2.64
 1 24000       NO     2.18
 2 24000       HC     0.41
 2 24000       CO     2.43
 2 24000       NO     1.59
 3 24000       HC     0.35
 3 24000       CO     2.20
 3 24000       NO     1.99
 4 24000       HC     0.26
 4 24000       CO     1.88
 4 24000       NO     2.29
 5 24000       HC     0.43
 5 24000       CO     2.58
 5 24000       NO     1.95
 6 24000       HC     0.48
 6 24000       CO     4.08
 6 24000       NO     2.21
 7 24000       HC     0.41
 7 24000       CO     2.49
 7 24000       NO     2.51
 8 24000       HC     0.36
 8 24000       CO     2.23
 8 24000       NO     1.88
 9 24000       HC     0.41
 9 24000       CO     4.76
 9 24000       NO     2.48
10 24000       HC     0.26
10 24000       CO     3.73
10 24000       NO     2.70
11 24000       HC     0.58
11 24000       CO     2.48
11 24000       NO     2.32
12 24000       HC     0.70
12 24000       CO     3.10
12 24000       NO     2.18
13 24000       HC     0.48
13 24000       CO     2.64
13 24000       NO     1.69
14 24000       HC     0.33
14 24000       CO     2.99
14 24000       NO     2.35
15 24000       HC     0.48
15 24000       CO     3.04
15 24000       NO     1.79
16 24000       HC     0.45
16 24000       CO     3.78
16 24000       NO     2.03
