A  B  C  D  E Inspection Volts
0 -1 -1 -1 -1          0    24
0 -1 -1 -1 -1         20    37
0 -1 -1 -1 -1         40    40
0 -1 -1 -1 -1         60    65
0 -1 -1 -1 -1         80    72
0 -1 -1 -1 -1        100    77
0 -1 -1 -1 -1        120    90
0 -1 -1 -1 -1        140   101
0 -1 -1 -1 -1        160   117
0 -1 -1 -1 -1        180   128
0 -1 -1 -1 -1          0    22
0 -1 -1 -1 -1         20    36
0 -1 -1 -1 -1         40    47
0 -1 -1 -1 -1         60    64
0 -1 -1 -1 -1         80    71
0 -1 -1 -1 -1        100    86
0 -1 -1 -1 -1        120    99
0 -1 -1 -1 -1        140   118
0 -1 -1 -1 -1        160   127
0 -1 -1 -1 -1        180   136
0 -1 -1 -1 -1          0    17
0 -1 -1 -1 -1         20    34
0 -1 -1 -1 -1         40    40
0 -1 -1 -1 -1         60    52
0 -1 -1 -1 -1         80    66
0 -1 -1 -1 -1        100    79
0 -1 -1 -1 -1        120    91
0 -1 -1 -1 -1        140    98
0 -1 -1 -1 -1        160   115
0 -1 -1 -1 -1        180   119
0 -1 -1 -1 -1          0    24
0 -1 -1 -1 -1         20    30
0 -1 -1 -1 -1         40    38
0 -1 -1 -1 -1         60    46
0 -1 -1 -1 -1         80    57
0 -1 -1 -1 -1        100    71
0 -1 -1 -1 -1        120    73
0 -1 -1 -1 -1        140    91
0 -1 -1 -1 -1        160    98
0 -1 -1 -1 -1        180   104
0  1  1  1  1          0    45
0  1  1  1  1         20    60
0  1  1  1  1         40    79
0  1  1  1  1         60    90
0  1  1  1  1         80   113
0  1  1  1  1        100   124
0  1  1  1  1        120   141
0  1  1  1  1        140   153
0  1  1  1  1        160   176
0  1  1  1  1        180   188
0  1  1  1  1          0    51
0  1  1  1  1         20    68
0  1  1  1  1         40    84
0  1  1  1  1         60   104
0  1  1  1  1         80   122
0  1  1  1  1        100   136
0  1  1  1  1        120   148
0  1  1  1  1        140   166
0  1  1  1  1        160   191
0  1  1  1  1        180   197
0  1  1  1  1          0    42
0  1  1  1  1         20    58
0  1  1  1  1         40    70
0  1  1  1  1         60    82
0  1  1  1  1         80   103
0  1  1  1  1        100   119
0  1  1  1  1        120   128
0  1  1  1  1        140   143
0  1  1  1  1        160   160
0  1  1  1  1        180   175
0  1  1  1  1          0    41
0  1  1  1  1         20    56
0  1  1  1  1         40    56
0  1  1  1  1         60    70
0  1  1  1  1         80    81
0  1  1  1  1        100    89
0  1  1  1  1        120    98
0  1  1  1  1        140   108
0  1  1  1  1        160   113
0  1  1  1  1        180   128
1 -1 -1  1  1          0    28
1 -1 -1  1  1         20    40
1 -1 -1  1  1         40    56
1 -1 -1  1  1         60    69
1 -1 -1  1  1         80    87
1 -1 -1  1  1        100    86
1 -1 -1  1  1        120   110
1 -1 -1  1  1        140   121
