Temp  Time Unit Resistance
200 0.496    1  -0.120682
200 0.496    2  -0.118779
200 0.496    3  -0.123600
200 0.496    4  -0.126501
200 0.496    5  -0.124359
200 0.688    1  -0.112403
200 0.688    2  -0.109853
200 0.688    3  -0.115186
200 0.688    4  -0.118941
200 0.688    5  -0.111966
200 0.856    1  -0.103608
200 0.856    2  -0.101593
200 0.856    3  -0.105657
200 0.856    4  -0.110288
200 0.856    5  -0.107869
200 1.024    1  -0.096047
200 1.024    2  -0.094567
200 1.024    3  -0.098569
200 1.024    4  -0.103419
200 1.024    5  -0.100304
200 1.192    1  -0.085673
200 1.192    2  -0.084698
200 1.192    3  -0.088613
200 1.192    4  -0.095465
200 1.192    5  -0.085916
200 1.360    1  -0.077677
200 1.360    2  -0.076070
200 1.360    3  -0.079332
200 1.360    4  -0.084769
200 1.360    5  -0.077947
200 2.008    1  -0.045218
200 2.008    2  -0.040623
200 2.008    3  -0.045835
200 2.008    4  -0.052268
200 2.008    5  -0.045597
200 2.992    1   0.000526
200 2.992    2   0.004237
200 2.992    3   0.000533
200 2.992    4  -0.008265
200 2.992    5   0.000524
200 4.456    1   0.059261
200 4.456    2   0.063742
200 4.456    3   0.061032
200 4.456    4   0.051139
200 4.456    5   0.059544
200 5.608    1   0.093394
200 5.608    2   0.095117
200 5.608    3   0.093612
200 5.608    4   0.082414
200 5.608    5   0.084912
240 0.160    1  -0.005152
240 0.160    2  -0.019888
240 0.160    3  -0.045961
240 0.160    4  -0.023188
240 0.160    5  -0.044267
240 0.328    1   0.056930
240 0.328    2   0.046278
240 0.328    3   0.015198
240 0.328    4   0.040737
240 0.328    5   0.018173
240 0.496    1   0.112631
240 0.496    2   0.101628
240 0.496    3   0.067119
240 0.496    4   0.095504
240 0.496    5   0.072214
240 0.688    1   0.173202
240 0.688    2   0.162705
240 0.688    3   0.128670
240 0.688    4   0.156129
240 0.688    5   0.131555
240 0.856    1   0.214266
240 0.856    2   0.202604
240 0.856    3   0.168271
240 0.856    4   0.196349
240 0.856    5   0.171394
240 1.024    1   0.272668
240 1.024    2   0.257563
240 1.024    3   0.221611
240 1.024    4   0.250900
240 1.024    5   0.225281
240 1.192    1   0.311422
240 1.192    2   0.297875
240 1.192    3   0.260910
240 1.192    4   0.291937
240 1.192    5   0.266314
240 1.360    1   0.351988
240 1.360    2   0.338902
240 1.360    3   0.302126
240 1.360    4   0.332887
240 1.360    5   0.306105
240 2.008    1   0.489847
240 2.008    2   0.461855
240 2.008    3   0.440738
240 2.008    4   0.473130
240 2.008    5   0.443941
240 2.992    1   0.656780
240 2.992    2   0.629991
240 2.992    3   0.606275
240 2.992    4   0.638651
240 2.992    5   0.611724
240 4.456    1   0.851985
240 4.456    2   0.798431
240 4.456    3   0.834114
240 4.456    4   0.798457
260 0.160    1   0.123360
260 0.160    2   0.127605
260 0.160    3   0.120759
260 0.160    4   0.105206
260 0.160    5   0.120115
260 0.328    1   0.251084
260 0.328    2   0.254944
260 0.328    3   0.247156
260 0.328    4   0.232389
260 0.328    5   0.247949
260 0.496    1   0.393107
260 0.496    2   0.394496
260 0.496    3   0.391516
260 0.496    4   0.375789
260 0.496    5   0.388406
260 0.688    1   0.517137
260 0.688    2   0.518485
260 0.688    3   0.513872
260 0.688    4   0.500556
260 0.688    5   0.511850
260 0.856    1   0.598797
260 0.856    2   0.599265
260 0.856    3   0.595704
260 0.856    4   0.583362
260 0.856    5   0.595220
260 1.024    1   0.693925
260 1.024    2   0.694445
260 1.024    3   0.688930
260 1.024    4   0.679117
260 1.024    5   0.690324
260 1.192    1   0.774347
260 1.192    2   0.774428
260 1.192    3   0.770313
260 1.192    4   0.758314
260 1.192    5   0.770782
