Time Temp Unit Luminosity
336 25 1 0.9704
336 25 2 0.9081
336 25 3 0.9483
336 25 4 0.9171
336 25 5 0.9872
336 25 6 1.0151
336 25 7 0.9814
336 25 8 0.9642
336 25 9 0.9262
336 25 10 0.9532
336 25 11 1.0055
336 25 12 0.9793
336 25 13 0.968
336 25 14 0.9284
336 25 15 0.9824
336 25 16 0.9396
336 25 17 0.9439
336 25 18 0.9512
336 25 19 0.9553
336 25 20 0.9747
336 25 21 0.9663
336 25 22 0.9749
336 25 23 0.9289
336 25 24 0.9704
336 25 25 0.9993
672 25 1 0.9439
672 25 2 0.8351
672 25 3 0.9485
672 25 4 0.8832
672 25 5 0.9688
672 25 6 0.9798
672 25 7 0.9571
672 25 8 0.9784
672 25 9 0.903
672 25 10 0.945
672 25 11 0.9882
672 25 12 0.9648
672 25 13 0.9883
672 25 14 0.936
672 25 15 0.9408
672 25 16 0.93
672 25 17 0.9076
672 25 18 0.9025
672 25 19 0.9248
672 25 20 0.9998
672 25 21 0.9591
672 25 22 0.9402
672 25 23 0.9488
672 25 24 0.9343
672 25 25 0.9749
1008 25 1 0.9614
1008 25 2 0.8663
1008 25 3 0.9348
1008 25 4 0.8893
1008 25 5 0.9264
1008 25 6 0.9834
1008 25 7 0.9439
1008 25 8 0.9514
1008 25 9 0.8627
1008 25 10 0.9524
1008 25 11 0.9329
1008 25 12 0.9585
1008 25 13 0.9527
1008 25 14 0.9198
1008 25 15 0.9302
1008 25 16 0.8748
1008 25 17 0.927
1008 25 18 0.9082
1008 25 19 0.9177
1008 25 20 0.9803
1008 25 21 0.9276
1008 25 22 0.9104
1008 25 23 0.8989
1008 25 24 0.9191
1008 25 25 0.9602
1344 25 1 0.9008
1344 25 2 0.8183
1344 25 3 0.9193
1344 25 4 0.8805
1344 25 5 0.9547
1344 25 6 0.9678
1344 25 7 0.9761
1344 25 8 0.899
1344 25 9 0.8498
1344 25 10 0.9275
1344 25 11 0.9453
1344 25 12 0.9705
1344 25 13 0.9343
1344 25 14 0.8853
1344 25 15 0.9065
1344 25 16 0.8764
1344 25 17 0.9279
1344 25 18 0.8931
1344 25 19 0.9134
1344 25 20 0.9429
1344 25 21 0.9195
1344 25 22 0.8834
1344 25 23 0.8783
1344 25 24 0.8936
1344 25 25 0.9905
1680 25 1 0.9273
1680 25 2 0.8304
1680 25 3 0.8926
1680 25 4 0.8388
1680 25 5 0.9385
1680 25 6 0.9219
1680 25 7 0.948
1680 25 8 0.9057
1680 25 9 0.8833
1680 25 10 0.9125
1680 25 11 0.9809
1680 25 12 0.9489
1680 25 13 0.964
1680 25 14 0.9004
1680 25 15 0.8852
1680 25 16 0.8696
1680 25 17 0.9023
1680 25 18 0.8591
1680 25 19 0.8928
1680 25 20 0.907
1680 25 21 0.9087
